Optimizer,interaction,Precision,Recall,F1,AUC,Kappa
adamax,1,0.7197138610182089,0.6877993966817495,0.6699787249787249,0.8249617980240561,0.6225018504811252
rmsprop,1,0.6699639249639249,0.6499426847662141,0.6250388397447221,0.8063073319552773,0.6226215644820297
adam,1,0.6053728070175439,0.5657013574660633,0.5659399896139836,0.7584502729265338,0.5117311350665821
adamax,2,0.6531626424674554,0.6126463732346086,0.6096096033169609,0.7900076864030187,0.6416382252559727
rmsprop,2,0.7140178571428571,0.6759366515837104,0.6628672899997763,0.8188202984891249,0.6191593770002133
adam,2,0.6421487603305785,0.6189030577265872,0.6109100795621171,0.7921162752844598,0.620051085568327
adamax,3,0.7454393645570115,0.6625860414095709,0.6817770757421147,0.8160605365874202,0.6657115568290353
rmsprop,3,0.6626190476190477,0.6448190045248869,0.6345494111623143,0.8026981240594058,0.6013499261759123
adam,3,0.6347455574728301,0.6086233374468669,0.6097584450525626,0.7874714365841143,0.6232985121874011
adamax,4,0.7167929292929293,0.7234147812971342,0.7096668818443475,0.8456150835917746,0.6772312910748357
rmsprop,4,0.7381250932975071,0.671612505141917,0.6764173076892738,0.8215256473423349,0.6878980891719745
adam,4,0.7817911255411256,0.672022487316605,0.7006225595336303,0.8214716459238255,0.6855614973262032
adamax,5,0.7387424242424242,0.6736289592760182,0.6816902826171118,0.817096959940488,0.6101209420751115
rmsprop,5,0.5715841565841566,0.6215052790346908,0.5781742818584924,0.7880528114917376,0.5453585383884254
adam,5,0.6385408708938121,0.5997463320992732,0.6125443598480803,0.7815753440808003,0.5989815404201146
adamax,6,0.6450595238095238,0.5575052790346907,0.5777281204458624,0.7579433766352084,0.583690527218174
rmsprop,6,0.6436003947033359,0.5652008775538188,0.577810198057876,0.7653714054056884,0.6194029850746268
adam,6,0.6492307871340129,0.5970190593720005,0.5979143265625623,0.7825309489292107,0.6441431900021182
