Optimizer,interaction,Precision,Recall,F1,AUC,Kappa
adamax,1,0.6082001332001331,0.5733223639105993,0.5614278333724424,0.7686639565422824,0.6000846381718155
rmsprop,1,0.5999783549783549,0.6221779788838613,0.5932037552765983,0.7908919883244006,0.5899736147757256
adam,1,0.5726511082242308,0.5257466063348416,0.5189759481452921,0.7419178186932034,0.5338759116372477
adamax,2,0.6704646155983055,0.612455779514603,0.6269470856328564,0.7908222054049848,0.6556648682957791
rmsprop,2,0.691364872694796,0.6370755823697,0.6341089907469454,0.7982408694255497,0.6296890028855402
adam,2,0.7682533408620364,0.6850346907993966,0.6941363563061677,0.8269573367672562,0.6869009584664536
adamax,3,0.657153848062939,0.5933648704236939,0.5941874970907229,0.780476449012816,0.6506011163589523
rmsprop,3,0.5689655172413793,0.5858069381598793,0.5716877381045297,0.7760501602389173,0.6238541776419766
adam,3,0.6516528925619834,0.5912436583024818,0.6047637459120713,0.779766236292551,0.6530960247255675
adamax,4,0.6610094451003542,0.5725682160976278,0.5792674321597252,0.7696732620684142,0.631852953676158
rmsprop,4,0.5237810435178857,0.5606842177430412,0.5351424407468856,0.7624660565344008,0.600929054054054
adam,4,0.5899366334148943,0.579407651172357,0.5769767536693174,0.771694499654809,0.5995338489246742
adamax,5,0.7515151515151515,0.6553791306732483,0.6694063441431862,0.8139194319997917,0.6980187473370261
rmsprop,5,0.7550746193794322,0.6569175922117099,0.6734673988911276,0.8151332857886365,0.7085201793721972
adam,5,0.6894106546536013,0.6487535993418346,0.6451178451178451,0.8098725479571839,0.6779822335025381
adamax,6,0.675,0.6254389140271492,0.6339984315156728,0.7934363801024377,0.6177730192719486
rmsprop,6,0.6507142857142857,0.6867978883861235,0.656591147680522,0.8244971329206032,0.6223021582733812
adam,6,0.6640518253676148,0.6731312217194569,0.6545982294290688,0.8188138025166248,0.6433499628489545
