Optimizer,interaction,Precision,Recall,F1,AUC,Kappa
adamax,1,0.6497222222222222,0.6067722473604826,0.6002111801242236,0.7816198747390867,0.5584060561455156
rmsprop,1,0.6567737817737818,0.6352292609351433,0.6298292604449506,0.7983045396708354,0.610864040660737
adam,1,0.5681185807656396,0.5896546003016592,0.5642645574976403,0.7723671359657477,0.5470804839558128
adamax,2,0.7627380952380952,0.6827993966817496,0.6877866483711997,0.8258232911292154,0.6869342987967202
rmsprop,2,0.7432537407425608,0.7337707390648567,0.7272716481049815,0.8490274019406019,0.6762360446570973
adam,2,0.7566000666000666,0.68436802413273,0.6877609188795082,0.8267494177202028,0.6877323420074349
adamax,3,0.6774792257550879,0.6391457562045797,0.6508541905093629,0.8052424774797192,0.6872673119880863
rmsprop,3,0.6555202373384191,0.6292293980529274,0.6267326829358915,0.7986527965197504,0.6457938013915243
adam,3,0.6688246097337006,0.6008515014397368,0.6176729630418155,0.7837718792132718,0.6401799100449775
adamax,4,0.6340323565323566,0.6355641025641026,0.6225084756920444,0.7999310750988224,0.6417528521164303
rmsprop,4,0.6285989010989012,0.6073076923076923,0.6038316722037653,0.7864418912576566,0.6532069038994247
adam,4,0.6144533105348152,0.5968764568764569,0.5984992784992784,0.7822576282596091,0.642895100435753
adamax,5,0.7716464363523188,0.7063348416289592,0.7042563517216022,0.8353978928764328,0.6838709677419355
rmsprop,5,0.7678555513114337,0.700419306184012,0.700560283407741,0.8349202607660458,0.6973094170403586
adam,5,0.8087301587301587,0.68036802413273,0.7035178856231488,0.8231092968717334,0.6631376323387872
adamax,6,0.761096681096681,0.7300135746606335,0.7102465591522196,0.8488304200031814,0.6774706069272323
rmsprop,6,0.7031833417127535,0.7149155354449472,0.6840976866270985,0.8403974642850092,0.656573116691285
adam,6,0.7514285714285713,0.6823469079939669,0.6859091745676001,0.8249583439797897,0.6759948925303256
