Optimizer,interaction,Precision,Recall,F1,AUC,Kappa
adamax,1,0.6633982683982684,0.6428914027149321,0.6320156286153005,0.8016394104022835,0.6002960769800147
rmsprop,1,0.6672491039426524,0.6542247360482654,0.6408478024974189,0.8083529942606693,0.621501272264631
adam,1,0.6401328502415459,0.6099834087481146,0.5974220779220779,0.7828926834879869,0.55470737913486
adamax,2,0.6575846702317291,0.5762699849170437,0.5852392378862967,0.7663778436601179,0.564129856306546
rmsprop,2,0.6975911769390031,0.6443016591251886,0.6419825708061002,0.8050175879489594,0.6548250265111346
adam,2,0.7319571656413761,0.6332503770739064,0.653677189939521,0.7988589222078032,0.6432363559142069
adamax,3,0.6934391124871001,0.6121990950226245,0.6234080122239856,0.787553207980334,0.6290149892933619
rmsprop,3,0.6574929971988795,0.6324856711915535,0.6253336090446406,0.7984370612203853,0.6421725239616614
adam,3,0.6977145403615992,0.6166033182503771,0.6272650208408723,0.789830264159605,0.6297681376215407
adamax,4,0.7047510065691884,0.5641011929247224,0.5882534132534132,0.7631678863598306,0.5851131994873986
rmsprop,4,0.729041804590394,0.5813506101741396,0.6094300410930122,0.7722903355480694,0.5961969875013353
adam,4,0.7105194805194806,0.6242314548196902,0.6346608946608946,0.7944455009958749,0.6105341246290801
adamax,5,0.6970833333333333,0.5887013574660633,0.6165050997682575,0.7750592252169707,0.6163765312701484
rmsprop,5,0.7142045454545454,0.6037269984917043,0.6350331060008478,0.7833580626896107,0.6286173633440514
adam,5,0.6855043859649123,0.5857269984917044,0.6108523018200438,0.7731811950028421,0.6066994863013698
adamax,6,0.6484615384615384,0.6487526395173454,0.6384708064074827,0.8051243582302409,0.6124235393376924
rmsprop,6,0.6142460317460318,0.6719879336349925,0.6294409674844459,0.817149087525421,0.6161479005640276
adam,6,0.6886503496503497,0.7023936651583711,0.6937008547008547,0.833533769843379,0.6450079239302694
